character,word,sentiment_afinn
TARKIN,aboard,1
HAN,aboard,1
THREEPIO,afraid,-2
WILLARD,afraid,-2
BEN,allow,1
HAN,amaze,2
THREEPIO,amazed,2
LEIA,attack,-1
BEN,avoid,-1
TARKIN,awful,-3
HAN,bad,-3
LUKE,bad,-3
THREEPIO,bad,-3
LEIA,battle,-1
LEIA,battle,-1
DODONNA,battle,-1
TARKIN,battle,-1
LUKE,battles,-1
LUKE,beautiful,3
JABBA,best,3
BEN,best,3
TARKIN,better,2
BEN,better,2
HAN,big,1
LUKE,bright,1
LUKE,care,2
LUKE,careful,2
LEIA,cares,2
TARKIN,charming,3
HAN,cut,-1
BEN,damned,-4
HUMAN,dead,-3
LUKE,dead,-3
BEN,dead,-3
HUMAN,death,-2
JABBA,disappoint,-2
LEIA,ease,2
LEIA,ease,2
HAN,easy,1
HAN,easy,1
BEN,easy,1
LEIA,escape,-1
LEIA,escape,-1
LUKE,fight,-1
INTERCOM VOICE,fire,-2
BEN,fool,-2
THREEPIO,forgotten,-1
BEN,fortunate,2
HAN,fun,4
LUKE,gaining,2
LUKE,glad,3
THREEPIO,good,3
THREEPIO,good,3
LUKE,good,3
LUKE,good,3
GOLD LEADER,good,3
BEN,good,3
BEN,good,3
HAN,great,3
DODONNA,greater,3
BEN,greater,3
LEIA,hard,-1
TARKIN,hard,-1
THREEPIO,hate,-3
THREEPIO,help,2
LEIA,help,2
LEIA,help,2
LEIA,help,2
LEIA,help,2
THREEPIO,help,2
THREEPIO,help,2
LEIA,hope,2
LEIA,hope,2
LEIA,hope,2
LEIA,hope,2
LEIA,hope,2
THREEPIO,importance,2
HAN,important,2
HUMAN,insult,-2
LEIA,intact,2
HAN,interest,1
THREEPIO,interesting,2
BEN,interesting,2
HAN,kind,2
LUKE,kind,2
HAN,leave,-1
LUKE,like,2
HAN,like,2
HUMAN,like,2
HUMAN,like,2
THREEPIO,like,2
BEN,like,2
HAN,like,2
HAN,like,2
HAN,like,2
HAN,like,2
TARKIN,like,2
BEN,like,2
HAN,losing,-3
WILLARD,lost,-3
LEIA,love,3
THREEPIO,matter,1
THREEPIO,no,-1
LUKE,no,-1
LUKE,no,-1
BARTENDER,no,-1
BARTENDER,no,-1
BEN,no,-1
HAN,no,-1
TARKIN,no,-1
LUKE,no,-1
BEN,no,-1
THREEPIO,no,-1
LUKE,no,-1
LUKE,no,-1
GOLD LEADER,pardon,2
THREEPIO,pay,-1
BEN,pay,-1
HAN,pay,-1
HAN,pay,-1
HAN,pleasure,3
BEN,reach,1
THREEPIO,rebellion,-2
LUKE,rebellion,-2
HAN,reward,2
LEIA,reward,2
TARKIN,risk,-2
WILLARD,safe,1
HAN,safe,1
TARKIN,secure,2
HUMAN,sentence,-2
GOLD LEADER,snub,-2
LUKE,sorry,-1
HAN,spirit,1
BEN,startled,-2
TROOPER,stop,-1
LUKE,stopping,-1
THREEPIO,trouble,-2
HAN,trouble,-2
THREEPIO,trust,1
LEIA,weakness,-2
LUKE,wish,1
LEIA,worry,-3
WILLARD,worst,-3
BEN,worth,2
TARKIN,yes,1
BEN,yes,1
BEN,yes,1
