character,dialogue
HAN,"You know, even I get boarded sometimes, Jabba.  I had no choice, but I've gota charter now and I can pay you back, plus a little extra.  I just need some more time."
JABBA,"Put your blasters away.  Han, my boy, I'm only doing this because you're the best and I need you.  So, for an extra, say... twenty percent I'll give you a little more time... but this is it.  If you disappoint me again, I'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life."
HAN,"Jabba, I'll pay you because it's my pleasure."
LUKE,What a piece of junk.
HAN,"She'll make point five beyond the speed of light.  She may not look like much, but she's got it where it counts, kid.  I've added some special modifications myself."
HAN,"We're a little rushed, so if you'll hurry aboard we'll get out of here."
THREEPIO,"Hello, sir."
TROOPER,Which way?
TROOPER,"All right, men.  Load your weapons!"
TROOPER,Stop that ship!
TROOPER,Blast 'em!
HAN,"Chewie, get us out of here!"
THREEPIO,"Oh, my.  I'd forgotten how much I hate space travel."
HAN,It looks like an Imperial cruiser.  Our passengers must be hotter than I thought.  Try and hold them off.  Angle the deflector shield while I make the calculations for the jump to light speed.
HAN,Stay sharp!  There are two more coming in; they're going to try to cut us off.
LUKE,Why don't you outrun them?  I thought you said this thing was fast.
HAN,"Watch your mouth, kid, or you're going to find yourself floating home.  We'll be safe enough once we make the jump to hyperspace.  Besides, I know a few maneuvers. We'll lose them!"
HAN,Here's where the fun begins!
BEN,How long before you can make the jump to light speed?
HAN,It'll take a few moments to get the coordinates from the navi-computer.
LUKE,Are you kidding?  At the rate they're gaining...
HAN,"Traveling through hyperspace isn't like dusting crops, boy!  Without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick, wouldn't it?"
LUKE,What's that flashing?
HAN,"We're losing our deflector shield.  Go strap yourself in, I'm going to make the jump to light speed."
MOTTI,We've entered the Alderaan system.
LEIA,"Governor Tarkin, I should have expected to find you holding Vader's leash.  I recognized your foul stench when I was brought on board."
TARKIN,Charming to the last.  You don't know how hard I found it signing the order to terminate your life!
LEIA,to take the responsibility yourself!
TARKIN,"Princess Leia, before your execution I would like you to be my guest at a ceremony that will make this battle station operational.  No star system will dare oppose the Emperor now."
LEIA,"The more you tighten your grip, Tarkin, the more star systems will slip through your fingers."
